,S_mean_std,A_mean_std,count,L2_norm
0,0.008347257041177189,28.740371146840317,98,
1,0.008347257041177187,29.763140539464345,88,
2,0.008347257041177163,33.041598233231745,100,
3,0.008347257041177185,32.156841824705765,100,
4,0.008347257041177185,30.035380359429944,93,
5,0.008347257041177183,33.933660038148695,76,
6,0.008347257041177183,30.687042723606677,100,
7,0.008347257041177194,30.304424513803095,68,
8,0.00834725704117719,28.520355607195224,100,
9,0.008347257041177187,30.113488854322018,90,
10,0.008347257041177192,45.668816683844945,100,
11,0.00834725704117718,28.607168290876032,88,
12,0.008347257041177189,27.876589022345858,93,
13,0.008347257041177185,42.560046368405466,100,
14,0.008347257041177183,32.7416765505712,83,
15,0.00834725704117719,31.317100296076237,100,
16,0.008347257041177183,29.30222274253416,100,
17,0.008347257041177194,32.251557618279236,100,
18,0.008347257041177183,29.332081990697198,84,
19,0.00834725704117718,29.845215009370175,97,
20,0.008347257041177182,29.12849640035219,81,
21,0.00834725704117719,28.48506620497075,99,
22,0.008347257041177183,30.37187719361085,76,
23,0.008347257041177185,30.600576176607838,91,
24,0.008347257041177182,31.171288692619715,92,
25,0.008347257041177197,33.723838950480456,70,
26,0.008347257041177187,47.6118545456982,100,
27,0.008347257041177183,32.831580545406965,96,
28,0.008347257041177185,28.55777067098846,87,
29,0.00834725704117718,31.321707713142978,100,
30,0.00834725704117718,29.833557348290352,100,
31,0.008347257041177177,29.35890870868184,100,
32,0.008347257041177177,29.267028791856156,84,
33,0.008347257041177189,34.44055445789099,100,
34,0.00834725704117719,32.39027129597061,100,
35,0.008347257041177197,38.236450563915355,99,
36,0.008347257041177192,29.903138300928312,68,
37,0.008347257041177177,47.638977850608846,100,
38,0.008347257041177187,42.98454374828852,100,
39,0.00834725704117719,30.63580246536966,67,
40,0.008347257041177183,32.0630557433506,97,
41,0.008347257041177183,32.315473317136664,87,
42,0.008347257041177194,34.50797828577964,85,
43,0.008347257041177183,32.1513357513039,70,
44,0.008347257041177194,34.18876039313969,95,
45,0.0083472570411772,29.22385353619308,52,
46,0.008347257041177196,34.08598047617362,68,
47,0.008347257041177182,31.09501086599519,54,
48,0.008347257041177182,31.606256709847973,57,
49,0.008347257041177182,31.236262085468233,56,
50,0.008347257041177194,33.710534962500866,64,
