0,Xu_20170519_HM449CO2 ,32850
1,Xu_20170519_HM458DC ,25664
2,Xu_20170519_HM460DCA ,31035
3,Xu_201606_HM483_DCA ,32688
4,Xu_201606_HM504_DCN ,43827
5,Xu_20161219_HM518DCN ,41446
6,Xu_201606_HM520_DCN ,25607
7,Xu_201606_HM533_DCA ,25030
8,Xu_201606_HM538_DCN ,23977
9,Xu_201606_HM539_DCA ,20148
10,Xu_20170519_HM557DCN ,32363
11,Xu_20170519_HM560DCA ,31158
12,Xu_20170519_HM562DCA ,27433
13,Xu_20161219_HM564_DC ,38817
14,Xu_20170519_HM568DC ,30898
15,Xu_201606_HM569_DCA ,22628
16,Xu_201606_HM574_DCA ,26921
17,Xu_20170519_HM579DCA ,35065
18,Xu_20170519_HM588DCN ,25918
19,Xu_201606_HM601_DCN_160805021637 ,15072
20,Xu_20170519_HM455DC ,31150
21,Xu_201606_HM467_DC ,23665
22,Xu_20170519_HM494DC ,32137
23,Xu_201606_HM502_DCN ,32653
24,Xu_201606_HM513_DCN ,28479
25,Xu_201606_HM523_DCN ,25779
26,Xu_201606_HM527_DCN ,16926
27,Xu_201606_HM528_DCN ,21850
28,Xu_20161219_HM531DCN ,28483
29,Xu_20170519_HM537DCN_170523180812 ,28198
30,Xu_20170519_HM540DCN ,31005
31,Xu_20170519_HM544DCN ,30083
32,Xu_201606_HM561_DCN ,18432
33,Xu_20161219_HM563DCN ,36387
34,Xu_20161219_HM572DCN ,27840
35,Xu_20170519_HM581DCN ,26713
36,Xu_201606_HM590_DCN ,28732
37,Xu_201606_HM594_DCN ,23728
38,Xu_201606_HM607_DCN ,19862
39,Xu_20170519_HM609DCN ,30889
40,Xu_201606_HM424_CO ,23026
41,Xu_20170519_HM450DC ,30880
42,Xu_201606_HM464_DC ,26663
43,Xu_20170519_HM472DC ,26141
44,Xu_20170519_HM482DCA ,33538
45,Xu_201606_HM505_DCA ,25005
46,Xu_20161219_HM514DCA ,40163
47,Xu_20161219_HM543DCA ,31241
48,Xu_20170519_HM550DCA ,32965
49,Xu_20170519_HM558DCN ,11618
50,Xu_201606_HM573_DCA_160726084753 ,22309
51,Xu_20170519_HM580DC ,30456
52,Xu_201606_HM582_DCA ,19586
53,Xu_201606_HM602_DCA ,19509
54,Xu_201606_HM616_DCA ,21842
55,Xu_20161219_HM617DCA ,24969
56,Xu_20161219_HM620DCA ,26048
57,Xu_201606_HM621_DCA_160621192528 ,28964
