feature_num,RT,MZ
848,4013.543868,593.3129075
1059,3104.743575,513.7522865
1599,5394.088326,689.8565197
5236,2619.00853,592.8187814
10032,7157.428939,564.6077677
14880,3331.646997,614.6687967
