feature_num,RT,MZ
339,7084.229301,857.4140073
1281,3149.288388,462.7417179
1385,2138.585093,664.3187986
1860,3400.412418,495.2890375
5630,5177.710975,547.2428416
13602,4717.698063,527.5890255
14492,12432.35054,906.1165517
18906,9155.905252,917.9499836
21125,7418.547065,923.7598233
22432,2606.961394,465.2351707
