feature_num,RT,MZ
97,2081.837291,559.2812502
133,3838.953557,711.367415
135,4163.833031,503.2881643
262,4907.363968,679.8182551
322,4834.363094,499.2560133
541,5329.497,510.759056
841,6041.375287,739.8626103
848,4943.234405,748.3768325
981,8400.894589,700.8447415
1447,7496.90422,719.3569292
6815,2785.94645,521.7430402
7861,3229.805708,744.6705634
11188,3352.225507,461.2551676
19862,1150.92016,537.7922278
