feature_num,RT,MZ
136,4207.5339,711.3676258
156,2374.182475,559.2878136
196,2669.695626,574.7683046
323,6917.784842,611.8088737
616,4119.05642,447.7564457
961,3171.920039,558.2520206
1935,6788.934885,697.3428349
