,S_mean_std,A_mean_std,count,L2_norm
0,0.006970884169478106,24.47653062325706,74,
1,0.006970884169478113,27.11804873055101,100,
2,0.006970884169478116,19.714147402561398,99,
3,0.006970884169478108,43.745108148819774,100,
4,0.006970884169478109,49.83622488243508,100,
5,0.006970884169478117,19.16392478683265,100,
6,0.006970884169478119,29.332483020042286,100,
7,0.006970884169478115,19.838697989544553,86,
8,0.006970884169478111,18.72841683601268,92,
9,0.006970884169478115,21.441100168528685,78,
10,0.0069708841694781165,19.40976900543922,95,
11,0.006970884169478114,35.355139951041316,100,
12,0.006970884169478117,27.056870518673804,100,
13,0.006970884169478116,20.509535111654774,79,
14,0.006970884169478115,20.78437528734421,87,
15,0.006970884169478116,31.053407058748782,100,
16,0.006970884169478117,45.51987437987688,100,
17,0.006970884169478122,30.68193758976743,100,
18,0.006970884169478117,34.82854851155815,99,
19,0.006970884169478122,22.004063550670054,68,
20,0.006970884169478116,31.02927865155995,94,
21,0.00697088416947812,28.056352859659945,100,
22,0.006970884169478109,20.568607413555387,90,
23,0.006970884169478115,21.072286325010452,53,
24,0.0069708841694781165,20.451427497500255,74,
25,0.006970884169478115,20.569037818773857,55,
26,0.006970884169478115,19.98362044498337,59,
27,0.0069708841694781165,22.003532757378085,55,
28,0.006970884169478114,33.859649962865525,60,
29,0.006970884169478114,28.617426098473203,53,
