,AZ-M-48_1,AZ-L-48_1,AZ-M-48_2,AZ-L-48_2,AZ-H-48_1,AZ-L-48_3,AZ-H-48_2,AZ-H-48_3,AZ-M-48_3,CP-L-48_1,CP-H-48_3,CP-M-48_1,CP-M-48_2,CP-L-48_2,CP-L-48_3,CP-H-48_2,CP-M-48_3,CP-H-48_1,DC-M-48_1,DC-H-48_1,DC-M-48_2,DC-H-48_2,DC-L-48_1,DC-L-48_2,DC-L-48_3,DC-H-48_3,DC-M-48_3,NC-1D-48_1,NC-1D-48_2,NC-1D-48_3,NZ-H-48_1,NZ-M-48_3,NZ-H-48_2,NZ-L-48_3,NZ-H-48_3,NZ-M-48_2,NZ-L-48_1,NZ-M-48_1,NZ-L-48_2,PR-L-48_1,PR-L-48_3,PR-M-48_1,PR-M-48_2,PR-H-48_1,PR-L-48_2,PR-M-48_3,PR-H-48_2,PR-H-48_3
0,1227225913.4089913,1564146155.5462408,750763348.8556796,6177636268.988415,18134641065.11053,565320830.0802513,682458330.9232019,5663594968.697049,5208282321.00427,2504505416.996427,125136795044.12143,112020386946.78949,297504642599.8105,634508473.1760662,6762050519.290644,8112242681.967266,110593328906.66707,12737973422.156013,4011374704.629601,19764191554.548485,5030804951.92649,1904108090.8482263,2960055875.3120112,-402352138.4192447,7962055305.052207,1662468176.0367134,2539300668.7455235,8709893547.60127,380732857.12060666,6766003904.941521,4229842065.6639805,549485644.395615,3930732692.2424207,-357432676.93752027,11307948068.960548,4773982007.773144,544567195.9125763,-157930680.17860237,5482960254.643832,5447994294.574586,6893024873.138078,1563807279.444478,-484354624.34429914,6583943532.699045,534452531.314496,7941392174.174531,8213120832.835728,70686177.62942253
1,13901706537.656256,17669225788.248306,21898714999.68977,15768106977.834047,25507350638.592865,18737448985.377815,18605198696.304607,17695861083.743275,11826139392.01731,16247774661.5461,112884392152.93135,159468352290.53275,205246664833.5547,18414188108.3969,19868540278.09092,238695604404.1258,203457339888.36523,385243821038.21967,14652981029.271326,36060431811.37611,12735214471.709108,35344680828.45148,11741872104.005335,14302506954.445452,14985537959.780937,39247496953.77515,15116544397.26112,15324880313.268858,15390761126.84445,12476598739.655397,13622545375.769163,13361555489.33722,13658853729.404325,11233731316.674673,20144127770.742508,19436130193.422592,21248303114.946712,8547468400.676278,13491787123.986046,12746160387.782455,13429393528.18271,17199551227.42774,13963025453.754698,20869413729.362965,18121717997.77391,12205115493.935274,21497947766.94548,9337523461.908327
2,2278946332.780208,8306734051.495967,962118645.8566284,3474729141.558919,2604685338.6003323,406365524.05342466,485507355.2039283,6994663449.423173,2130998172.8670385,3189201979.642373,4881513197.365037,29037000206.5712,-6938594001.942962,330204428.53271466,1622013591.2145643,1928162016.701886,66604694752.426445,1299305710.8162549,2720918884.1043653,-721401659.8542395,2555181209.623104,4165766169.511275,823907520.915106,2126409678.7260172,3021202207.828068,1663894876.886905,1502185857.9740167,2097043397.1392698,439192325.167093,1586848867.6495037,4776090220.486321,-420237679.21747214,3832179383.102013,1046902620.4620733,2828619508.921263,244144137.70864695,-644467111.8780143,967437686.2569269,2862541020.1556706,5697131669.926495,813692170.6781954,6606815930.640638,2381402223.9131165,2592909820.8189855,602197221.7767373,5024261854.826885,2336367431.2000623,2258660056.922406
3,17121488314.516298,20114890655.714684,13400230440.352554,16499575021.600876,18253692524.20851,14948418131.793285,13146732179.490582,14525299018.890924,15379083472.022303,19105273153.149216,-5051868239.29041,10183281438.623978,-879544888.9866457,15070754104.112988,14276614453.810192,1391620636.180708,3900957923.0538483,-93139453.69799538,15197027229.441643,8941772116.194923,15079825730.653645,15077476694.860655,16128627400.20887,13401146724.372385,18101289013.936184,10522794934.185053,17115799112.210012,13137546659.554451,15738043395.74413,14019829248.417381,15156934055.639668,13769972807.344849,14373579862.21152,13747004609.84606,18413764295.384876,13605304707.99644,13028842243.490965,14369163864.752798,17219484146.16364,16769277130.385574,15372897632.134005,19501136174.767372,13291356029.201479,13310419237.54005,16361028450.831306,15731887305.780632,13172262904.558884,13759637977.62883
4,1399433291.0070434,2472905124.282153,2535708998.1332493,3150075879.2541203,5722039836.941629,1093770434.4142153,2014369802.763179,4261511667.0169854,2082436473.648446,2831537470.316056,28505894279.654964,63249379127.59278,70723582794.9089,3440776162.7283306,3753855189.524767,97690191602.33406,84123410574.28323,-90106526451.57266,2923162417.1986623,6414296400.543063,3255898040.2452703,6742791428.031652,2870744045.5119066,995261072.1156768,3809700803.3246074,11701290649.344206,1605360747.5162542,1590391386.2751544,552463069.086111,2120873717.9597683,1925612809.6044269,4008826250.8930774,2932989730.171264,650555493.5062001,3285974242.9737854,5263731796.454399,7043337376.556327,1973246087.8011446,2393896601.3182945,1916658895.6334734,1621832687.3591318,3098290998.7496834,428331521.45897865,3821435388.1856685,930460666.9725796,2317474720.5496936,7005843347.964657,2974741269.487246
5,2693522764.8368397,2841714154.3678174,1586447767.8122144,4390481357.050677,5082282777.478452,1534620927.8125334,2246308472.7591453,2226701760.3129334,1702296517.833843,4586923572.622336,553260143107.3807,27413653470.26637,62467664628.47346,2507274712.125279,2600431124.75613,53574430242.08631,70449060921.78973,16372479794.967453,3505482273.4505033,12582801901.216516,1698062241.8853767,7754874425.830437,1216900828.0913205,3761444398.496312,2782743925.2335944,4358711422.448977,2694573287.1182437,4550762205.257704,2469853848.644075,3172006237.3293786,3600812023.610151,1301151604.9227004,1295128825.294107,1652613179.9714723,5831168545.881839,2199726256.263522,1848504255.8610787,1173711094.414351,3370754084.4348254,3691337589.8076353,1487173124.5823758,2301921644.504285,2885815579.079443,4755024976.733605,3013269269.689107,3950137061.537488,5384100186.239392,3276169231.9143496
