,AZ-M-48_1,AZ-L-48_1,AZ-M-48_2,AZ-L-48_2,AZ-H-48_1,AZ-L-48_3,AZ-H-48_2,AZ-H-48_3,AZ-M-48_3,CP-L-48_1,CP-H-48_3,CP-M-48_1,CP-M-48_2,CP-L-48_2,CP-L-48_3,CP-H-48_2,CP-M-48_3,CP-H-48_1,DC-M-48_1,DC-H-48_1,DC-M-48_2,DC-H-48_2,DC-L-48_1,DC-L-48_2,DC-L-48_3,DC-H-48_3,DC-M-48_3,NC-1D-48_1,NC-1D-48_2,NC-1D-48_3,NZ-H-48_1,NZ-M-48_3,NZ-H-48_2,NZ-L-48_3,NZ-H-48_3,NZ-M-48_2,NZ-L-48_1,NZ-M-48_1,NZ-L-48_2,PR-L-48_1,PR-L-48_3,PR-M-48_1,PR-M-48_2,PR-H-48_1,PR-L-48_2,PR-M-48_3,PR-H-48_2,PR-H-48_3
0,3884374839.210587,2405194112.588971,2242502132.774699,1974547944.2746735,3779612441.679784,3825073900.7918186,10801593330.666111,6967380225.865697,9658801229.68826,1984617781.431958,95728639.55803637,419319594.87579846,51632544.49120819,2812387415.6684847,3513333499.209079,525016480.2557689,-99504525.01638412,-75306153.65169954,3983568889.6799865,25981181718.970585,4293081173.290937,28851171583.909443,3246769946.0321455,4457117470.297855,3731464425.6817803,26669033754.68541,4964361601.593926,3849855677.7869983,4085949882.7941084,5967904895.600757,3261316606.1927166,4602935198.361062,1740388627.7265022,3401368243.5516076,1884261840.4180646,2440267663.0562115,2890631163.982512,3882333321.8254814,2523705613.1229167,3157699361.2577953,4237372728.1240153,3533049684.4510927,3229870611.960432,2127401215.7309449,4475987770.392958,3288033551.3902917,3019427059.0177584,3176194744.200821
1,11418161920.88097,11944252457.439955,9336859196.44785,12397914029.093853,4801008529.225611,14044153292.498938,7679468204.981972,4688770315.701141,8512823604.146362,6078260532.978477,-544363035.875652,-753287220.7728237,-715774695.4910514,5957386579.65491,4667288337.909987,-500622564.445074,-926412158.1910799,-1584933947.3964207,4472875307.15323,633414765.609,6923700800.20768,518962058.1291607,11740884536.212309,14108382969.01158,9942462784.467705,215162503.7032478,5391364760.355724,13424921489.660147,16135086574.55918,15278078431.05102,7938447014.742762,14013081619.446123,5949514883.067572,15335010166.54317,6775792668.493313,11788770067.987158,13039210581.735075,16916487323.82698,14554631029.032993,13917046721.9564,14163080257.598864,14221402224.268127,14197334890.992865,9084370806.228136,16366971703.770264,14944442041.482353,9390741546.277489,7310252891.456442
2,12419972392.618507,13508658238.906256,9568814986.625174,12922141515.359417,7312778712.56244,13126867369.931013,8698966224.342241,5979579005.37505,9756868311.405535,32616381956.665886,-4239011.070515926,-7472219.6438020505,-87484326.42037357,22390261878.082184,14576426498.010475,457750030.1536887,181140457.0485372,-31309834.818652585,6180345473.063184,1443962355.1881611,7066641703.994188,1730295932.6119094,11232924137.164017,14309882707.424635,12795389254.56073,1374658931.4366484,6894553590.840582,12069225087.437227,15807157031.396542,13797936196.366066,8415213615.228022,13607993478.315987,6957125001.22072,14045500008.403753,8450467794.313381,11113941869.790314,13038642325.666,16038447188.944168,12471869199.492815,12497858333.147364,13912845435.661648,13707814151.578434,14246266088.716475,9564353370.453209,14939924831.222435,14306680289.149147,10853106231.314428,7890484273.811852
3,726052342.4838134,487523685.1729353,811687759.1067715,447472541.7758016,419279166.486933,758637318.9777058,599750063.7212688,739668806.7086473,643778005.2494678,593829784.5008984,15683969183.15574,3478153302.457672,2294679513.433552,574864552.0089104,481415050.5152627,2740238641.6630874,2822020964.121508,9367939.13647917,566604793.339098,915693702.5582411,433843443.8058047,1212070136.9244416,595889296.7584006,567384991.038608,851022525.785493,1067540541.8337289,435049293.53208345,975170676.4024476,851991516.1913543,766717887.3656659,749230360.007655,716597571.3639067,657783830.2797687,645848371.4662219,424699662.7817721,702777624.6321276,530219354.9123204,809072336.017426,866404819.4560899,507541793.3160379,639469961.4758133,596965823.2622538,811143059.123826,708864628.6678902,699646356.4334799,743389765.1443083,723916772.4875585,288456248.3651258
4,187235987.8419805,326507501.8970212,716521833.1207545,1042022564.720071,554491888.2001369,681397199.0918517,375141660.88266414,630343709.7838155,88339198.03686059,396758828.1552909,2814017647.9300714,-2638172051.186241,14230924406.150879,-50512898.11407324,387470762.3411966,-3068407106.70897,-3687529829.1392627,-6339845759.308015,818406190.4217604,2210742747.8259974,622015859.8521954,-418228940.74657017,757010200.8641287,554561159.6953607,-442049202.7602678,110111032.89819808,326829315.0498787,575417003.2863976,-487525307.44220597,-51689636.3119994,754494830.1008366,478463090.3953383,969309418.9271519,348852214.5425843,1264246117.4382093,294785412.35950136,731170419.0043312,629306604.6805673,445206779.0860567,825849374.877042,589291642.9738585,3166635.1660807407,-421642390.52351713,948553058.1152178,331360387.7236548,-35397381.709623404,779872001.700664,1090330719.0167344
5,-574999015.5928022,-517335847.98416865,-683211837.0656105,-564366489.1685188,-683721770.6924813,-672161543.7330843,-627165627.9409096,-876974656.3193512,-950978787.3488389,7921988.380064961,-3189102121.6863165,3979504748.3905745,-4480451047.965248,-352478104.70282775,-333752953.1086805,-5839438580.507943,-6061714665.45061,14633870873.592302,-738714311.1920421,-719934325.3064903,-606255206.4794602,-794901015.3708574,-714586740.119937,-608903288.0352429,-711662225.1274174,-695359791.5438635,-648172703.8200434,-895530671.9717782,-666653235.4476864,-532404378.81662697,-700917892.9301189,-561391951.4782618,-640162748.0765013,-585937762.268075,-570880007.8449882,-709003724.8358467,-714855237.0066813,-711546407.805104,-682474141.6569061,-716831046.0631118,-355790067.5369564,-601396623.5821087,-570441227.1536454,-671111360.0308244,-553525821.0919521,-918947205.0203143,-690173320.684312,-756970076.2387567
6,-349952947.29415107,-476743580.48150027,-855637183.8420444,-380820926.72981995,-807186012.252267,-495363320.31085944,778213451.2389419,464498655.65252656,1342979287.6144896,267671789.90853736,928146889.092787,1812689873.1946323,780359889.8399675,643163091.8669548,381834238.72113645,1602961750.069619,1472786291.8834693,2388628713.425688,-307513540.537288,-2536093583.0797014,-30731136.933792636,12522046596.20096,-759068525.5937496,140367538.86662477,-25552705.159537446,9481506680.513037,-415352585.92322713,263669919.89818925,-420770447.7535322,-92906156.59768976,-654600192.255023,-321239602.973996,-750625575.5123276,-580131064.2849048,-767218327.6236584,-592938503.763107,-907491607.376135,-469179248.11465967,-168156979.65278003,-150571797.73655945,-573962322.6247855,-43234193.49331826,-381764056.40431666,-259635291.78648448,-130375326.31486149,-463508798.0022777,54352698.27309184,-863079401.0918251
7,2024308895.3020103,2057731442.4463067,2121428049.731059,154918476.0191944,3629711163.6842074,4939276170.7424755,2601998001.573967,2031103784.7248278,1917907832.8983588,3850697793.9303274,706427987.1010264,1162516048.9491367,919248010.4442036,1351065774.5058105,7257494676.5088005,1340430457.4485068,1269761308.1864333,1446820060.8527966,1900313870.4028783,505638379.4545725,1613925723.4737976,154809891.31606302,4344160322.8619,6302448854.447497,5132998103.03461,110835397.42015693,2861897259.202765,2459037963.9367824,3254080544.3339486,2283698908.7711473,1952329795.4352677,4299168171.0032,495735785.220543,4795281226.629294,2245425269.269772,2639590479.623339,4061584826.221452,3578617570.991502,1028971766.3492205,3836202679.2662187,2599175896.55585,6476198809.683926,4247953779.4953346,3201569138.7382145,2072862107.736365,3506689475.3252563,5144064727.693221,2766454205.0851097
8,1178834736.101178,1623716194.5760508,1727789205.4046118,1672170008.0527685,2256584194.439198,3461378692.014688,2675069803.424387,2238971036.0906954,486139046.79186743,2405559787.8189945,-116024674.356275,-114326015.93999243,88463186.02428319,985876774.7882591,851574099.5266583,-11651703.94178955,-291429589.067774,-647516271.1152351,5426338186.359579,2087167281.2441208,4784248736.649151,1271843899.3353097,5788251170.696559,8453761151.900861,11088231060.80866,1728670003.2983718,6297310635.872434,6882511604.179361,8027549560.185247,8679281009.010246,8624696005.435478,8001591395.278528,7648699174.244953,7347030498.028004,8526161913.092666,5731301195.237184,9193406416.698112,7628956784.21968,5710458601.994055,7976177558.7222805,7544431219.608421,6294297772.038269,7468970417.264654,4780487976.67574,6785234694.092477,5998319903.9079895,4365118908.391979,6502981729.563063
9,428198902.3993941,514340098.37211096,934455307.7907513,293450971.366762,435725137.0899659,361388108.6718759,683225332.9028991,900728795.1537309,504879712.3513787,291050520.3810179,8797833477.333714,27022224813.145103,10771386188.51585,-149331448.55539674,70912928.47573432,9140663305.330679,12095998639.802664,8570918029.146285,416158346.6937128,1145659196.529562,688069938.2696489,2995614932.323319,1035296591.1634485,246171169.48086002,622434047.9178023,2455951671.1217265,392047445.872646,1091440810.1473937,112246971.86792494,261292938.17086747,301117901.8219425,75849410.93835726,1042540665.3258113,122133727.10577603,116960646.1557451,735341897.8875399,235098297.21897155,718612210.4599957,349928219.0458172,180680716.04895732,424965789.64027953,690733900.5547947,473265086.5735315,398152661.73092794,376413515.1893804,261110048.5700953,969384339.1479131,982776741.3252448
