,S_mean_std,A_mean_std,count,L2_norm
0,0.0058251878107233495,21.245348455930138,65,
1,0.00582518781072335,21.09495503307429,95,
2,0.0058251878107233365,38.787526406194985,100,
3,0.005825187810723353,21.545024633926236,96,
4,0.00582518781072336,21.669284297736667,100,
5,0.005825187810723349,28.818252976277805,83,
6,0.005825187810723349,25.985308530269347,87,
7,0.005825187810723344,31.57329313207621,100,
8,0.005825187810723343,24.84385603149931,81,
9,0.005825187810723341,24.06020640732205,56,
10,0.005825187810723353,25.924047430977144,99,
11,0.00582518781072334,21.942763026569434,87,
12,0.005825187810723331,67.95646499606819,100,
13,0.005825187810723347,24.091306506708893,100,
14,0.005825187810723343,29.31609667708244,100,
15,0.00582518781072334,24.537264543112233,100,
16,0.00582518781072333,23.891741667780618,96,
17,0.005825187810723349,39.61852370792785,100,
18,0.005825187810723342,22.814725820975056,59,
19,0.005825187810723347,21.20187291503933,68,
20,0.005825187810723344,26.1915078064813,100,
21,0.005825187810723348,30.230711332473287,99,
22,0.005825187810723351,27.529532228516807,83,
23,0.005825187810723342,37.97394250371213,100,
24,0.005825187810723351,24.82094961576331,100,
25,0.005825187810723346,21.639944647593357,82,
26,0.005825187810723349,22.451105105274205,100,
27,0.0058251878107233555,42.908155179652276,100,
28,0.005825187810723335,42.67520665192228,100,
29,0.005825187810723351,22.536346012240397,100,
30,0.005825187810723334,42.548792918814726,84,
31,0.005825187810723349,21.901028295747903,88,
32,0.005825187810723343,21.052294962013274,87,
33,0.005825187810723341,23.871568475870752,85,
34,0.0058251878107233234,66.3796898459512,82,
35,0.005825187810723344,24.394520645512806,85,
36,0.005825187810723338,21.10440996034498,64,
37,0.005825187810723342,23.184361188701768,58,
